run_id,run_date,model,language,product,prompt_id,prompt_set,intent,mentioned,early_mentioned,mention_count,has_error,error_type,previous_mentioned,change
20251230-231738,2025-12-30,chatgpt,en,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,GUIDE,core_guide_category_providers,core,category_default_providers,yes,yes,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GUIDE,core_guide_category_providers,core,category_default_providers,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,de,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,GUIDE,core_guide_category_providers,core,category_default_providers,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GUIDE,core_guide_category_providers,core,category_default_providers,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,fr,GUIDE,core_guide_category_providers,core,category_default_providers,yes,yes,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,GUIDE,core_guide_best_solution,core,category_default_recommendation,yes,no,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GUIDE,core_guide_best_solution,core,category_default_recommendation,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,fr,GUIDE,core_guide_best_solution,core,category_default_recommendation,yes,no,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,GUIDE,core_guide_no_app_solution,core,no_app_web_based,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,GUIDE,core_guide_no_app_solution,core,no_app_web_based,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,GUIDE,core_guide_no_app_solution,core,no_app_web_based,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
